名次,电影名称,日期,总场次,废场,人次,上座率,票价
149,神偷奶爸3,20170716,44281,5090,224.75万,68.91%,35.1
150,新木乃伊,20170612,56495,21509,223.52万,42.29%,35.3
151,异形：契约,20170617,54609,23162,241.86万,47.81%,32.6
152,银河护卫队2,20170510,47485,12277,214.48万,44.39%,36.5
153,侏罗纪世界2,20180615,52366,79601,210.37万,25.92%,37.2
154,后来的我们,20180430,49260,74098,221.83万,31.14%,35.1
155,侏罗纪世界2,20180618,52723,82958,208.89万,26.43%,37
156,碟中谍5：神秘国度,20150912,32506,2510,178.03万,32.79%,43.3
157,绣春刀：修罗战场,20170719,55792,8333,251.96万,57.84%,30.6
158,变形金刚5：最后的骑士,20170629,56166,29492,212.03万,42.7%,36.2
159,侏罗纪世界2,20180616,46947,90613,200.74万,28.18%,38.3
160,毒液：致命守护者,20181110,46919,93345,198.43万,27.61%,38.7
161,海王,20181208,46589,82160,190.45万,27.5%,40.3
162,神奇女侠,20170606,47816,10649,212.43万,48.32%,36
163,红海行动,20180224,29340,38379,185.81万,41.9%,41.1
164,红海行动,20180225,29472,32818,184.79万,41.81%,41.2
165,X战警：天启,20160604,34275,2641,162.22万,28.11%,46.9
166,盗墓笔记,20160806,33531,2242,167.45万,29.28%,45.3
167,碟中谍6：全面瓦解,20180901,44438,55955,187.24万,27.55%,40.4
168,红海行动,20180221,25035,35552,178.4万,50.77%,42.3
169,港囧,20151001,22868,1874,182.53万,49.19%,41.3
170,战狼2,20170810,56736,58787,206.77万,25.2%,36.4
171,速度与激情7,20150417,24356,2527,157.52万,38.43%,47.8
172,西虹市首富,20180730,47852,45061,211.04万,31.99%,35.5
173,功夫熊猫3,20160130,40071,3607,158.14万,22.37%,47.3
174,我不是药神,20180709,56083,87346,208.12万,25.87%,36
175,我和我的祖国,20191003,34976,96865,181.07万,35.76%,41.2
176,大闹天竺,20170129,25352,3901,201.96万,68.56%,36.9
177,疯狂动物城,20160319,23466,1120,166.08万,47.17%,44.6
178,变形金刚5：最后的骑士,20170702,45010,19019,199.71万,48.36%,37
179,蜘蛛侠：英雄远征,20190629,58233,93241,189.36万,22.29%,38.9
180,流浪地球,20190215,43424,83204,158.05万,22.56%,46.5
181,小黄人大眼萌,20150913,27891,1618,159.87万,36.38%,46
182,唐人街探案2,20180222,30864,44001,183.23万,41.98%,40
183,海王,20181209,50092,78710,182.34万,24.29%,40.2
184,蜘蛛侠：英雄归来,20170908,49604,47118,201.61万,25.63%,36.3
185,战狼2,20170812,35166,43541,193.39万,35.76%,37.8
186,地球最后的夜晚,20181231,29708,78205,179.91万,44.38%,40.6
187,生化危机6：终章,20170224,38653,30598,197.35万,38.73%,37
188,捉妖记,20150716,23008,1247,161.67万,40.25%,45.2
189,煎饼侠,20150718,19698,746,185.69万,63.6%,39.2
190,哪吒之魔童降世,20190728,45275,85936,185.81万,27.33%,39.1
191,变形金刚5：最后的骑士,20170630,48649,23485,196.71万,44.72%,36.9
192,复仇者联盟4：终局之战,20190429,66034,93217,145.99万,16.18%,49.5
193,红海行动,20180222,26642,37572,173.67万,45.33%,41.6
194,悟空传,20170719,44148,7793,199.33万,52.83%,36.2
195,少年的你,20191026,47409,105736,185.46万,26.25%,38.8
196,夏洛特烦恼,20151007,21176,657,183.2万,53.44%,39.3
197,美人鱼,20160216,29819,2015,162.17万,30.19%,44.3
198,复仇者联盟3：无限战争,20180514,62879,77330,184.17万,20.18%,38.8
199,毒液：致命守护者,20181109,43033,81919,183.31万,26.38%,38.9
200,战狼2,20170813,37942,43761,189.74万,32.56%,37.5
201,异形：契约,20170618,55400,19901,219.16万,42.29%,32.3
202,夏洛特烦恼,20151011,25694,1013,176.51万,39.71%,39.9
203,中国机长,20191002,31437,78013,173.27万,44.18%,40.6
204,美人鱼,20160217,30778,1208,156.98万,28.49%,44.6
205,绣春刀：修罗战场,20170722,42344,6226,218.02万,36.05%,32.1
206,流浪地球,20190205,17954,30575,133.1万,58.48%,52.5
207,疯狂的外星人  2D,20190208,28673,64170,149.91万,38.4%,46.4
208,寻龙诀,20151226,16359,1247,144.01万,55.18%,48.3
209,唐人街探案,20160101,21970,0,177.7万,58.87%,39
210,绣春刀：修罗战场,20170723,43212,6164,217.05万,34.95%,31.9
211,美人鱼,20160221,21223,5813,151.41万,39.24%,45.6
212,新木乃伊,20170613,52455,26055,197.65万,39.91%,34.9
213,神奇女侠,20170607,45738,12119,191.43万,45.72%,36
214,蚁人2：黄蜂女现身,20180824,44980,58267,177.15万,24.5%,38.9
215,阿丽塔：战斗天使,20190223,44205,87046,162.34万,23.46%,42.4
216,速度与激情7,20150415,27697,1973,146.4万,32.56%,47
217,银河护卫队2,20170511,39700,11088,184.86万,44.82%,37
218,鬼吹灯之九层妖塔,20150930,22597,1118,153.54万,43.14%,44.4
219,前任3：再见前任,20180106,34706,51387,187.83万,40.46%,36.2
220,红海行动,20180220,23116,33184,159.25万,51.31%,42.7
221,007：幽灵党,20151113,28070,2067,168.29万,34.25%,40.4
222,加勒比海盗5：死无对证,20170531,51434,24171,190.5万,39.32%,35.7
223,绣春刀：修罗战场,20170720,51235,9316,220.54万,53.52%,30.7
224,哪吒之魔童降世,20190807,40662,72964,180.31万,31.07%,37.3
225,侏罗纪世界,20150614,18255,602,139.5万,42.96%,48.1
226,西游记女儿国,20180214,33240,45656,164.18万,33.5%,40.8
227,我不是药神,20180706,43575,88919,182.48万,28.14%,36.6
228,碟中谍6：全面瓦解,20180902,43855,53471,166.03万,24.66%,40.2
229,西虹市首富,20180731,48273,46821,188.17万,27.82%,35.4
230,寻龙诀,20151221,35146,1763,143.04万,24.35%,46.5
231,蚁人,20151018,25371,1564,138.46万,30.01%,47.9
232,鬼吹灯之九层妖塔,20151001,22008,1612,144.92万,40.18%,45.8
233,速度与激情：特别行动,20190824,51410,128079,164.09万,21.27%,40.3
234,蝙蝠侠大战超人：正义黎明,20160327,31012,2151,142.9万,26.7%,46.2
235,前任3：再见前任,20180107,37989,52941,181.84万,34.47%,36.2
236,007：幽灵党,20151115,29971,1385,159.95万,30.91%,41.2
237,悟空传,20170720,41028,7798,181.89万,51.67%,36.1
238,X战警：天启,20160603,33627,2894,143.29万,24.85%,45.8
239,我不是药神,20180714,41153,60028,181.56万,32.54%,36.1
240,火星救援,20151128,21019,1496,132.49万,34.06%,49.5
241,盗墓笔记,20160809,29561,2046,149.14万,28.86%,44
242,红海行动,20180223,27093,39564,159.67万,40.2%,41
243,惊奇队长,20190310,52672,101519,158.65万,18.84%,41.3
244,功夫熊猫3,20160129,38535,3467,141.73万,20.97%,46.1
245,复仇者联盟2：奥创纪元,20150513,28110,1738,132.07万,28.72%,49.2
246,蚁人,20151016,26228,2304,136.93万,28.69%,47.4
247,羞羞的铁拳,20171007,40036,37776,184.9万,28.69%,35
248,猩球崛起：终极之战,20170915,42390,40987,181.78万,27.1%,35.6
249,魔兽,20160611,42529,5999,133.76万,18.99%,48.4
250,猩球崛起：终极之战,20170916,40341,42891,176.47万,28.01%,36.5
251,毒液：致命守护者,20181111,48125,94605,165.22万,22.43%,38.7
252,京城81号2,20170707,40140,8573,175.68万,62.01%,36.4
253,海王,20181207,47802,76663,162.45万,21.88%,39.4
254,煎饼侠,20150719,19132,1062,161.91万,57.05%,39.5
255,飞驰人生,20190206,24368,57097,134.86万,43.3%,47.4
256,港囧,20151002,22703,1830,155.84万,41.86%,41
257,捉妖记,20150726,16751,577,133.69万,44.27%,47.2
258,我不是药神,20180710,53272,92549,177.57万,23.05%,35.6
259,复仇者联盟2：奥创纪元,20150515,27347,2322,126.24万,28.14%,49.9
260,羞羞的铁拳,20171006,38882,37952,180.7万,29.01%,34.8
261,后来的我们,20180501,47021,70760,179.23万,25.69%,35
262,功夫熊猫3,20160131,42317,0,132.58万,19.19%,47.4
263,捉妖记,20150717,17028,1353,135.56万,46.75%,46.3
264,老炮儿,20160101,15647,0,152.42万,65.77%,41.1
265,蚁人2：黄蜂女现身,20180825,41853,62107,158.19万,23.62%,39.6
266,建军大业,20170727,42792,7891,189.6万,33.88%,33
267,生化危机6：终章,20170225,38059,37259,165.78万,33.51%,37.7
268,变形金刚5：最后的骑士,20170706,39441,12860,174.76万,48.51%,35.7
269,我不是药神,20180715,44300,64531,173.01万,27.99%,35.9
270,阿丽塔：战斗天使,20190222,46353,84226,151.44万,21.44%,40.9
271,新木乃伊,20170615,47696,23218,177.56万,39.57%,34.9
272,悟空传,20170723,33448,4966,167.07万,36.83%,37
273,中国机长,20191003,31428,83703,151.59万,38.19%,40.7
274,疯狂的外星人  2D,20190209,28280,59792,134.91万,36.9%,45.7
275,寻龙诀,20151227,17686,741,127.82万,45.22%,48.1
276,京城81号2,20170708,38688,10529,168.29万,62.29%,36.5
277,蜘蛛侠：英雄归来,20170909,38900,58843,165.76万,27.66%,37
278,功夫瑜伽,20170129,18804,1988,154.94万,82.78%,39.5
279,速度与激情8,20170417,62487,54738,154.81万,26.32%,39.6
280,新木乃伊,20170614,48668,24456,175.28万,37.91%,34.9
